,age,job,marital,education,default,housing,loan,month,day_of_week,duration,campaign,poutcome,y,contact_telephone
36,34,4,1,2,1,1,1,1,2,365,1,1,0,1
37,52,3,1,3,1,3,1,1,2,1666,1,1,0,1
38,41,1,1,1,1,3,1,1,2,577,1,1,0,1
39,56,3,1,5,1,3,1,1,2,137,1,1,0,1
40,58,5,4,1,1,3,1,1,2,366,1,1,0,1
41,32,7,1,2,1,3,1,1,2,314,1,1,0,1
42,38,1,2,4,1,1,1,1,2,160,1,1,0,1
43,57,1,1,1,1,1,3,1,2,212,1,1,0,1
44,44,1,1,1,2,3,1,1,2,188,1,1,0,1
45,42,3,2,4,2,1,1,1,2,22,1,1,0,1
46,57,1,1,1,1,3,3,1,2,616,1,1,0,1
47,40,2,1,3,1,1,3,1,2,178,1,1,0,1
48,35,1,1,1,1,3,1,1,2,355,1,1,0,1
49,45,2,1,3,1,3,1,1,2,225,2,1,0,1
50,54,1,1,2,1,1,1,1,2,160,1,1,0,1
51,39,9,1,5,1,1,3,1,2,266,1,1,0,1
52,60,1,1,2,1,1,1,1,2,253,1,1,0,1
53,53,1,2,4,1,1,1,1,2,179,1,1,0,1
54,55,2,1,5,2,1,1,1,2,269,2,1,0,1
55,55,3,1,4,2,3,1,1,2,135,1,1,0,1
56,50,5,1,1,2,1,3,1,2,161,1,1,0,1
57,45,4,1,2,2,3,1,1,2,787,1,1,0,1
58,55,10,1,4,2,3,3,1,2,145,1,1,0,1
59,25,3,2,1,1,3,1,1,2,174,1,1,0,1
60,47,7,1,1,2,1,1,1,2,449,1,1,0,1
61,51,2,1,3,1,3,1,1,2,812,1,1,0,1
62,42,2,1,6,2,3,1,1,2,164,1,1,0,1
63,42,2,1,6,2,1,1,1,2,366,1,1,0,1
64,48,1,1,2,1,1,1,1,2,357,1,1,0,1
65,37,1,1,1,1,1,1,1,2,232,1,1,0,1
66,44,2,2,3,1,3,1,1,2,91,1,1,0,1
67,33,1,1,7,1,3,1,1,2,273,1,1,0,1
68,56,1,1,3,1,3,1,1,2,158,2,1,0,1
69,44,2,2,5,2,3,3,1,2,177,1,1,0,1
70,41,5,1,6,1,1,1,1,2,200,1,1,0,1
71,44,5,3,1,1,3,1,1,2,172,1,1,0,1
72,47,1,1,1,2,3,1,1,2,176,1,1,0,1
73,57,12,1,7,2,1,1,1,2,211,1,1,0,1
74,37,1,1,1,2,3,1,1,2,214,1,1,0,1
75,41,2,3,5,2,3,1,1,2,1575,1,1,1,1
76,55,3,1,1,1,1,1,1,2,349,1,1,0,1
77,33,4,1,2,2,3,1,1,2,337,2,1,0,1
78,55,5,1,7,2,3,1,1,2,272,1,1,0,1
79,42,2,1,3,2,1,1,1,2,208,1,1,0,1
80,50,2,1,5,2,3,1,1,2,193,1,1,0,1
81,51,2,1,5,2,2,2,1,2,212,1,1,0,1
82,38,1,1,2,2,1,1,1,2,165,2,1,0,1
83,49,7,1,1,2,3,1,1,2,1042,1,1,1,1
84,38,3,2,1,1,1,3,1,2,20,1,1,0,1
85,31,1,3,2,1,1,1,1,2,246,1,1,0,1
86,41,5,1,6,1,1,1,1,2,529,2,1,0,1
87,39,1,1,1,1,3,3,1,2,192,1,1,0,1
88,49,3,1,3,1,1,1,1,2,1467,1,1,1,1
89,34,1,1,2,1,3,1,1,2,188,2,1,0,1
90,35,1,1,1,1,3,1,1,2,180,2,1,0,1
91,57,12,1,7,2,3,1,1,2,48,1,1,0,1
92,60,1,1,7,2,1,3,1,2,213,2,1,0,1
93,33,10,1,3,1,1,1,1,2,545,1,1,0,1
94,42,2,1,6,1,1,3,1,2,583,1,1,0,1
95,45,4,1,4,1,3,1,1,2,221,1,1,0,1
96,42,5,1,1,1,1,1,1,2,426,1,1,0,1
97,53,1,3,1,2,1,1,1,2,287,1,1,0,1
98,37,3,2,4,1,1,1,1,2,197,1,1,0,1
99,44,2,1,6,1,1,1,1,2,257,1,1,0,1
100,54,4,1,7,1,3,1,1,2,229,1,1,0,1
101,49,2,1,5,1,1,1,1,2,55,3,1,0,1
102,54,4,1,7,1,1,1,1,2,400,1,1,0,1
103,52,1,3,1,1,1,1,1,2,197,1,1,0,1
104,52,1,3,1,1,1,1,1,2,190,1,1,0,1
105,43,4,2,2,2,1,1,1,2,21,1,1,0,1
106,34,9,1,6,1,3,1,1,2,300,2,1,0,1
107,35,1,1,2,1,3,1,1,2,123,2,1,0,1
108,42,7,1,7,2,3,1,1,2,293,1,1,0,1
109,43,3,1,7,2,3,3,1,2,325,1,1,0,1
110,60,6,3,1,2,1,1,1,2,514,1,1,0,1
111,58,10,1,5,2,1,1,1,2,849,2,1,0,1
112,35,4,3,2,1,3,1,1,2,194,1,1,0,1
113,55,2,1,3,2,3,1,1,2,212,2,1,0,1
114,37,5,1,1,1,1,1,1,2,337,2,1,0,1
115,36,2,1,2,1,1,1,1,2,286,1,1,0,1
116,52,1,3,1,1,1,1,1,2,247,2,1,0,1
117,57,2,3,7,2,3,1,1,2,518,1,1,0,1
118,56,1,1,7,1,3,1,1,2,364,1,1,0,1
119,48,2,3,5,2,3,1,1,2,178,1,1,0,1
120,40,2,1,2,2,3,1,1,2,98,1,1,0,1
121,49,2,3,2,1,1,1,1,2,439,1,1,0,1
122,41,4,1,2,1,1,1,1,2,139,1,1,0,1
123,45,3,1,2,1,3,1,1,2,79,1,1,0,1
124,32,1,1,1,1,3,3,1,2,175,1,1,0,1
125,42,1,1,1,1,1,3,1,2,262,2,1,0,1
126,50,1,1,6,1,1,1,1,2,61,1,1,0,1
127,31,3,3,4,1,3,3,1,2,78,1,1,0,1
128,56,6,1,5,1,3,1,1,2,102,2,1,0,1
129,41,3,1,4,2,3,1,1,2,579,1,1,1,1
130,37,2,1,6,1,3,3,1,2,143,1,1,0,1
131,41,3,1,4,2,1,1,1,2,677,1,1,0,1
132,35,2,1,7,1,3,1,1,2,267,1,1,0,1
133,37,2,1,6,1,3,1,1,2,345,1,1,0,1
134,52,5,1,1,1,1,1,1,2,185,1,1,0,1
135,39,5,3,1,1,1,1,1,2,207,1,1,0,1
136,39,9,1,5,2,1,1,1,2,69,2,1,0,1
137,56,2,1,5,2,1,1,1,2,100,2,1,0,1
138,34,4,1,2,1,3,1,1,2,125,2,1,0,1
139,45,2,1,3,2,3,1,1,2,461,1,1,1,1
140,43,10,2,1,1,3,1,1,2,240,1,1,0,1
141,56,5,1,7,1,3,1,1,2,70,1,1,0,1
142,39,5,1,1,1,3,1,1,2,193,1,1,0,1
143,53,2,1,5,1,3,1,1,2,136,1,1,0,1
144,38,12,3,2,2,3,1,1,2,73,1,1,0,1
145,42,2,1,5,2,3,1,1,2,528,1,1,0,1
146,42,2,1,5,2,1,1,1,2,541,1,1,0,1
147,35,1,2,2,1,3,1,1,2,338,1,1,0,1
148,40,1,1,1,2,3,1,1,2,163,1,1,0,1
149,51,2,1,5,1,3,1,1,2,87,1,1,0,1
150,60,2,1,3,2,1,1,1,2,301,1,1,0,1
151,56,7,1,7,2,3,1,1,2,46,1,1,0,1
152,39,4,3,2,2,3,1,1,2,52,1,1,0,1
153,56,7,1,7,2,1,1,1,2,204,1,1,0,1
154,40,2,1,7,1,3,3,1,2,155,1,1,0,1
155,36,2,1,3,1,3,3,1,2,98,1,1,0,1
156,51,2,1,7,2,3,1,1,2,71,1,1,0,1
157,51,2,1,7,2,1,1,1,2,243,1,1,0,1
158,43,3,2,4,1,3,1,1,2,186,2,1,0,1
159,59,4,1,2,1,1,1,1,2,579,2,1,0,1
160,24,5,2,1,1,3,1,1,2,165,2,1,0,1
161,37,2,2,3,2,3,3,1,2,163,2,1,0,1
162,40,2,1,3,2,1,1,1,2,46,1,1,0,1
163,42,2,1,3,2,1,1,1,2,559,3,1,0,1
164,39,4,3,2,2,1,1,1,2,2033,1,1,0,1
165,37,7,1,6,1,1,1,1,2,85,1,1,0,1
166,38,4,1,2,1,3,3,1,2,506,1,1,0,1
167,56,1,3,7,2,1,1,1,2,114,2,1,0,1
168,40,2,1,7,1,1,1,1,2,114,2,1,0,1
169,54,5,3,1,1,3,1,1,2,843,2,1,0,1
170,43,2,1,2,2,1,3,1,2,181,1,1,0,1
171,36,4,1,2,2,1,1,1,2,427,1,1,0,1
172,45,3,1,1,1,3,3,1,2,292,1,1,0,1
173,42,1,2,1,2,1,1,1,2,192,1,1,0,1
174,43,4,1,2,1,1,1,1,2,93,3,1,0,1
175,46,5,1,3,1,1,1,1,2,128,2,1,0,1
176,44,4,1,2,1,3,3,1,2,107,1,1,0,1
177,51,1,2,6,1,1,1,1,2,303,2,1,0,1
178,28,4,1,2,1,3,1,1,2,81,1,1,0,1
179,37,2,1,3,1,1,1,1,2,270,1,1,0,1
180,34,3,1,2,1,1,1,1,2,228,1,1,0,1
181,46,2,1,6,2,3,1,1,2,240,1,1,0,1
182,42,2,1,3,1,3,3,1,2,673,2,1,1,1
183,36,1,1,1,1,3,1,1,2,233,3,1,0,1
184,54,2,1,5,2,1,1,1,2,102,1,1,0,1
185,57,5,1,1,1,1,1,1,2,461,1,1,0,1
186,51,3,1,6,2,1,1,1,2,250,1,1,0,1
187,54,6,1,2,2,1,1,1,2,130,1,1,0,1
188,49,2,1,5,2,1,1,1,2,252,1,1,0,1
189,34,1,1,1,1,3,1,1,2,138,1,1,0,1
190,41,3,1,4,1,1,1,1,2,412,1,1,0,1
191,38,2,2,3,1,3,1,1,2,179,2,1,0,1
192,45,5,3,1,1,1,1,1,2,19,2,1,0,1
193,42,3,1,1,1,1,1,1,2,228,2,1,0,1
194,34,2,2,3,2,3,1,1,2,55,1,1,0,1
195,48,2,1,5,1,3,1,1,2,717,1,1,0,1
196,37,1,1,2,2,3,1,1,2,313,1,1,0,1
197,34,2,2,3,2,1,1,1,2,289,1,1,0,1
198,40,1,1,3,2,3,1,1,2,683,2,1,0,1
199,43,2,1,6,1,3,1,1,2,1077,1,1,0,1
200,33,4,1,2,1,1,1,1,2,146,2,1,0,1
201,32,4,2,6,1,1,1,1,2,167,1,1,0,1
202,39,2,1,2,1,3,1,1,2,356,2,1,0,1
203,43,1,1,7,1,1,1,1,2,277,1,1,0,1
204,44,2,1,3,1,3,1,1,2,172,1,1,0,1
205,35,11,2,1,2,1,1,1,2,218,1,1,0,1
206,35,11,2,1,2,3,3,1,2,217,1,1,0,1
207,35,10,1,4,1,1,1,1,2,67,1,1,0,1
208,36,4,2,5,1,1,1,1,2,291,1,1,0,1
209,35,11,2,1,2,3,1,1,2,248,1,1,0,1
210,36,11,2,3,1,3,1,1,2,256,1,1,0,1
211,55,9,3,1,1,1,1,1,2,286,1,1,0,1
212,59,1,1,1,1,1,1,1,2,477,1,1,0,1
213,57,6,1,7,2,1,1,1,2,611,2,1,0,1
214,39,2,1,4,2,3,1,1,2,471,1,1,0,1
215,39,9,1,5,2,3,1,1,2,381,2,1,0,1
216,30,2,2,7,1,3,1,1,2,251,1,1,0,1
217,30,2,2,7,1,3,3,1,2,408,1,1,0,1
218,50,9,1,5,2,1,1,1,2,287,1,1,0,1
219,40,4,1,2,1,1,1,1,2,322,3,1,0,1
220,35,1,1,2,1,3,1,1,2,216,2,1,0,1
221,43,3,1,7,2,1,1,1,2,366,2,1,0,1
222,36,4,2,6,2,3,1,1,2,210,1,1,0,1
223,46,3,1,5,2,3,1,1,2,288,1,1,0,1
224,40,3,1,3,1,1,1,1,2,168,1,1,0,1
225,58,6,1,1,1,1,1,1,2,132,1,1,0,1
226,42,3,1,1,1,1,1,1,2,64,2,1,0,1
227,35,1,2,1,1,1,1,1,2,209,2,1,0,1
228,43,6,1,5,2,1,1,1,2,410,3,1,0,1
229,45,2,1,5,1,3,3,1,2,177,1,1,0,1
230,39,1,1,4,1,3,1,1,2,580,2,1,0,1
231,50,4,3,4,1,3,1,1,2,165,1,1,0,1
232,32,5,3,5,2,3,1,1,2,127,2,1,0,1
233,39,1,1,2,2,1,1,1,2,357,1,1,0,1
234,52,8,1,1,2,1,1,1,2,175,1,1,0,1
235,44,1,1,4,1,3,1,1,2,300,1,1,0,1
236,56,2,1,5,1,1,1,1,2,136,1,1,0,1
237,48,1,1,2,1,1,1,1,2,125,2,1,0,1
238,33,4,1,2,2,1,3,1,2,189,2,1,0,1
239,43,5,1,1,2,1,3,1,2,213,3,1,0,1
240,57,6,1,2,1,1,1,1,2,238,2,1,0,1
241,36,3,2,4,1,1,1,1,2,124,1,1,0,1
242,34,5,1,1,1,3,1,1,2,18,1,1,0,1
243,34,4,2,3,1,1,1,1,2,730,2,1,0,1
244,30,3,1,1,2,1,1,1,2,40,1,1,0,1
245,33,4,3,7,1,1,1,1,2,181,2,1,0,1
246,32,3,2,4,1,1,1,1,2,79,1,1,0,1
247,36,3,2,2,1,3,1,1,2,142,2,1,0,1
248,36,2,2,2,1,1,3,1,2,389,1,1,0,1
249,33,4,2,2,1,1,1,1,2,702,1,1,0,1
250,40,3,3,4,1,1,1,1,2,151,1,1,0,1
251,41,2,1,5,1,3,1,1,2,211,1,1,0,1
252,51,4,1,6,1,3,1,1,2,117,1,1,0,1
253,36,3,1,4,1,3,1,1,2,232,3,1,0,1
254,28,4,1,7,1,1,1,1,2,408,2,1,0,1
255,53,4,1,2,1,3,3,1,2,370,3,1,0,1
256,58,2,1,3,2,3,1,1,2,179,2,1,0,1
257,45,5,1,3,1,1,3,1,2,46,1,1,0,1
258,43,3,1,7,1,3,1,1,2,200,1,1,0,1
259,33,1,1,2,1,1,3,1,2,50,1,1,0,1
260,33,1,1,2,1,1,3,1,2,181,1,1,0,1
261,27,2,2,6,1,2,2,1,2,119,1,1,0,1
262,42,3,1,2,1,1,1,1,2,361,1,1,0,1
263,43,1,3,3,1,1,1,1,2,73,3,1,0,1
264,42,1,1,1,1,1,1,1,2,67,2,1,0,1
265,27,2,2,6,1,1,1,1,2,350,1,1,0,1
266,34,8,2,1,1,3,1,1,2,150,2,1,0,1
267,31,11,2,1,2,1,1,1,2,332,2,1,0,1
268,54,5,3,1,1,1,1,1,2,611,2,1,0,1
269,40,8,1,5,2,1,1,1,2,58,3,1,0,1
270,52,10,1,2,2,3,1,1,2,151,1,1,0,1
271,47,5,3,1,1,1,1,1,2,89,2,1,0,1
272,49,9,1,3,2,1,1,1,2,152,1,1,0,1
273,32,1,2,2,1,1,1,1,2,611,2,1,0,1
274,49,9,2,2,2,3,3,1,2,110,2,1,0,1
275,50,2,1,3,2,1,1,1,2,463,1,1,0,1
276,34,4,1,2,1,1,1,1,2,962,1,1,0,1
277,55,2,1,5,2,1,1,1,2,102,2,1,0,1
278,47,3,2,3,1,1,1,1,2,10,4,1,0,1
279,51,6,1,4,1,1,1,1,2,118,3,1,0,1
280,47,2,1,6,1,1,1,1,2,92,2,1,0,1
281,56,3,1,5,1,3,1,1,2,143,3,1,0,1
282,53,1,1,3,1,1,1,1,2,189,3,1,0,1
283,36,2,1,3,1,3,1,1,2,75,2,1,0,1
284,42,2,3,3,1,3,1,1,2,189,2,1,0,1
285,44,2,3,6,1,1,1,1,2,55,2,1,0,1
286,39,9,1,3,1,3,1,1,2,935,3,1,1,1
287,37,1,2,2,1,3,3,1,2,56,2,1,0,1
288,60,2,1,7,2,3,1,1,2,5,2,1,0,1
289,36,4,1,2,1,1,1,1,2,225,2,1,0,1
290,42,5,3,1,1,3,1,1,2,125,2,1,0,1
291,31,1,1,2,1,3,3,1,2,286,2,1,0,1
292,53,3,3,4,2,1,3,1,2,206,2,1,0,1
293,45,2,1,5,1,3,1,1,2,164,2,1,0,1
294,37,3,2,4,1,3,1,1,2,98,2,1,0,1
295,47,8,1,4,1,1,1,1,2,446,2,1,0,1
296,49,2,3,2,1,1,3,1,2,742,2,1,0,1
297,36,1,1,1,1,3,1,1,2,120,2,1,0,1
298,35,4,3,2,1,1,1,1,2,122,3,1,0,1
299,38,12,1,7,2,1,1,1,2,362,4,1,0,1
300,38,4,2,2,2,1,1,1,2,357,2,1,0,1
301,50,2,3,2,2,1,3,1,2,200,2,1,0,1
302,59,6,1,4,2,1,1,1,2,107,2,1,0,1
303,43,12,1,7,1,3,1,1,2,267,2,1,0,1
304,42,1,1,2,1,3,1,1,2,248,2,1,0,1
305,40,1,1,6,2,3,1,1,2,215,2,1,0,1
306,46,2,1,7,2,1,1,1,2,209,2,1,0,1
307,57,9,3,5,1,3,3,1,2,205,2,1,0,1
308,42,1,1,1,1,3,1,1,2,261,3,1,0,1
309,41,2,1,5,1,3,1,1,2,83,2,1,0,1
310,54,5,3,1,1,3,1,1,2,106,3,1,0,1
311,27,1,2,1,1,1,1,1,2,106,2,1,0,1
312,36,1,1,2,1,1,1,1,2,108,2,1,0,1
313,58,2,1,4,2,3,1,1,2,214,2,1,0,1
314,40,5,1,1,2,3,1,1,2,358,2,1,0,1
315,34,1,2,3,2,1,1,1,2,453,2,1,0,1
316,33,1,3,2,1,1,1,1,2,364,2,1,0,1
317,56,6,1,6,1,1,1,1,2,136,2,1,0,1
318,42,2,1,3,1,1,1,1,2,173,2,1,0,1
319,43,4,1,2,1,3,1,1,2,241,2,1,0,1
320,54,5,2,3,1,3,1,1,2,224,3,1,0,1
321,53,1,2,6,1,3,3,1,2,148,2,1,0,1
322,42,3,2,7,1,1,1,1,2,230,2,1,0,1
323,40,4,1,6,2,1,1,1,2,199,3,1,0,1
324,54,3,1,4,1,3,3,1,2,196,2,1,0,1
325,40,9,2,4,1,1,1,1,2,111,4,1,0,1
326,26,1,2,1,1,3,1,1,2,231,3,1,0,1
327,33,1,1,2,1,1,1,1,2,316,3,1,0,1
328,35,2,1,3,2,1,1,1,2,240,2,1,0,1
329,36,1,1,2,1,1,1,1,2,669,3,1,0,1
330,29,4,2,2,1,3,1,1,2,425,2,1,0,1
331,36,2,1,3,1,3,1,1,2,121,2,1,0,1
332,35,5,1,2,1,3,1,1,2,174,5,1,0,1
333,50,8,2,1,1,1,3,1,2,88,5,1,0,1
334,46,4,1,2,2,3,1,1,2,313,3,1,0,1
335,49,7,1,2,1,3,1,1,2,135,4,1,0,1
336,42,3,2,4,2,3,1,1,2,152,2,1,0,1
337,36,2,2,2,1,3,3,1,2,402,3,1,0,1
338,55,2,1,3,2,3,1,1,2,221,2,1,0,1
339,41,5,1,1,2,1,1,1,2,213,2,1,0,1
340,57,5,1,4,2,3,1,1,2,144,3,1,0,1
341,32,4,2,2,1,3,1,1,2,158,3,1,0,1
342,49,1,1,3,1,1,1,1,2,220,3,1,0,1
343,57,12,1,7,2,3,1,1,2,325,2,1,0,1
344,58,2,3,5,1,3,1,1,2,254,2,1,0,1
345,52,3,1,2,1,3,1,1,2,503,2,1,0,1
346,50,4,3,4,1,1,1,1,2,680,2,1,0,1
347,41,2,2,3,2,3,1,1,2,421,4,1,0,1
348,33,7,1,1,1,3,1,1,2,130,3,1,0,1
349,57,2,1,5,1,1,1,1,2,164,2,1,0,1
350,48,2,1,6,2,1,1,1,2,174,3,1,0,1
351,55,3,1,4,1,1,1,1,2,113,2,1,0,1
352,38,5,1,1,1,1,1,1,2,195,2,1,0,1
353,38,4,1,2,1,3,1,1,2,347,3,1,0,1
354,53,1,1,1,1,3,1,1,2,208,2,1,0,1
355,43,10,2,1,1,1,1,1,2,404,4,1,0,1
356,36,2,2,2,1,1,1,1,2,396,2,1,0,1
357,32,2,1,3,1,1,1,1,2,98,2,1,0,1
358,33,4,1,5,1,1,1,1,2,229,3,1,0,1
359,58,7,1,5,1,3,1,1,2,350,2,1,0,1
360,40,10,3,2,2,1,1,1,4,88,3,1,0,1
361,57,5,1,1,1,3,1,1,4,379,2,1,0,1
362,45,3,1,2,1,3,1,1,4,168,3,1,0,1
363,42,2,1,5,2,3,1,1,4,190,3,1,0,1
364,46,1,1,1,1,3,1,1,4,158,1,1,0,1
365,36,3,1,1,1,1,1,1,4,210,1,1,0,1
366,41,8,1,2,1,3,1,1,4,102,1,1,0,1
367,57,1,3,3,1,1,1,1,4,306,1,1,0,1
368,49,2,1,3,2,3,1,1,4,64,1,1,0,1
369,56,5,3,2,1,1,1,1,4,218,1,1,0,1
370,37,2,1,3,1,1,1,1,4,77,1,1,0,1
371,37,2,1,3,1,1,3,1,4,54,1,1,0,1
372,46,1,2,2,1,3,1,1,4,344,1,1,0,1
373,22,2,2,3,1,3,1,1,4,195,1,1,0,1
374,43,4,1,2,1,1,1,1,4,202,1,1,0,1
375,49,2,1,7,1,1,1,1,4,286,1,1,0,1
376,41,3,1,6,1,3,1,1,4,278,1,1,0,1
377,38,1,2,1,1,1,1,1,4,189,1,1,0,1
378,33,1,1,3,1,1,1,1,4,83,1,1,0,1
379,49,1,1,1,1,3,3,1,4,18,1,1,0,1
380,30,2,2,7,1,1,1,1,4,184,2,1,0,1
381,33,1,1,3,1,3,1,1,4,235,1,1,0,1
382,34,5,2,1,1,1,1,1,4,290,1,1,0,1
383,30,11,2,7,2,1,1,1,4,133,1,1,0,1
384,59,5,1,5,2,3,3,1,4,318,1,1,0,1
385,59,5,1,5,2,2,2,1,4,437,1,1,0,1
386,41,8,1,1,1,1,1,1,4,402,1,1,0,1
387,48,9,1,6,2,3,3,1,4,501,4,1,0,1
388,28,12,2,7,2,3,3,1,4,1201,1,1,1,1
389,44,4,1,2,1,3,1,1,4,1030,1,1,1,1
390,59,6,4,1,2,1,1,1,4,253,1,1,0,1
391,50,5,1,2,2,1,1,1,4,149,1,1,0,1
392,35,1,1,1,1,1,1,1,4,144,1,1,0,1
393,42,1,1,2,1,1,1,1,4,69,1,1,0,1
394,45,1,1,3,1,1,1,1,4,243,1,1,0,1
395,36,3,1,4,1,1,1,1,4,769,2,1,0,1
396,56,4,1,2,2,1,1,1,4,135,3,1,0,1
397,29,2,3,5,1,1,1,1,4,231,1,1,0,1
398,41,8,1,1,1,3,3,1,4,442,2,1,0,1
399,42,2,1,3,2,1,1,1,4,199,1,1,0,1
400,52,4,2,2,1,1,1,1,4,455,1,1,0,1
401,48,4,1,2,2,2,2,1,4,152,1,1,0,1
402,31,2,1,2,2,3,1,1,4,124,1,1,0,1
403,43,10,1,1,2,3,1,1,4,424,1,1,0,1
404,36,2,1,5,2,1,1,1,4,43,1,1,0,1
405,42,7,1,1,1,3,1,1,4,154,1,1,0,1
406,52,4,3,6,1,1,1,1,4,393,1,1,0,1
407,39,1,1,2,1,3,1,1,4,203,2,1,0,1
408,36,4,1,2,1,1,3,1,4,140,2,1,0,1
409,42,2,1,3,2,3,1,1,4,326,1,1,0,1
410,41,1,1,2,1,1,1,1,4,483,1,1,0,1
411,55,3,1,5,1,1,3,1,4,259,1,1,0,1
412,30,2,1,3,1,1,1,1,4,227,1,1,0,1
413,57,6,4,5,1,1,1,1,4,673,1,1,0,1
414,45,7,1,5,2,3,1,1,4,576,1,1,0,1
415,51,2,1,5,2,3,3,1,4,180,2,1,0,1
416,39,8,2,3,2,3,3,1,4,90,1,1,0,1
417,47,1,1,2,2,1,1,1,4,505,1,1,0,1
418,27,4,1,2,1,3,1,1,4,245,1,1,0,1
419,34,3,2,1,1,3,1,1,4,186,1,1,0,1
420,57,2,1,5,2,3,1,1,4,208,1,1,0,1
421,43,7,1,5,1,1,1,1,4,623,1,1,0,1
422,49,2,1,5,2,1,1,1,4,180,1,1,0,1
423,39,5,1,1,2,1,1,1,4,496,3,1,0,1
424,38,2,1,5,2,3,1,1,4,118,1,1,0,1
425,49,2,1,3,1,1,1,1,4,102,2,1,0,1
426,58,5,1,6,1,1,1,1,4,342,1,1,0,1
427,43,3,1,4,1,3,1,1,4,225,1,1,0,1
428,50,12,1,7,2,3,1,1,4,185,3,1,0,1
429,31,4,1,2,2,1,1,1,4,276,1,1,0,1
430,43,8,3,1,1,1,1,1,4,87,1,1,0,1
431,43,8,1,3,2,1,1,1,4,744,1,1,0,1
432,30,8,2,1,1,3,1,1,4,262,1,1,0,1
433,27,4,2,4,1,3,3,1,4,271,1,1,0,1
434,51,4,1,7,2,1,1,1,4,141,1,1,0,1
435,37,3,1,4,1,3,1,1,4,198,2,1,0,1
436,46,9,1,3,1,3,1,1,4,150,1,1,0,1
437,35,2,1,4,1,1,1,1,4,241,1,1,0,1
438,47,1,3,1,1,1,1,1,4,196,1,1,0,1
439,46,5,1,7,1,3,1,1,4,149,1,1,0,1
440,40,3,1,4,2,1,3,1,4,264,1,1,0,1
441,26,9,1,1,1,1,1,1,4,246,1,1,0,1
442,32,2,3,3,2,1,1,1,4,309,2,1,0,1
443,45,5,1,1,1,3,1,1,4,140,1,1,0,1
444,34,1,1,3,1,1,1,1,4,175,1,1,0,1
445,47,2,1,7,2,1,1,1,4,136,1,1,0,1
446,42,3,1,4,1,1,1,1,4,1623,1,1,1,1
447,57,3,1,5,2,1,3,1,4,50,1,1,0,1
448,57,3,1,5,2,1,1,1,4,101,1,1,0,1
449,38,2,1,5,1,1,3,1,4,144,1,1,0,1
450,57,3,1,5,2,1,1,1,4,238,1,1,0,1
451,28,11,2,3,2,3,1,1,4,354,1,1,0,1
452,60,5,1,1,1,1,1,1,4,451,2,1,0,1
453,48,1,1,1,1,3,1,1,4,159,1,1,0,1
454,47,3,1,4,1,3,1,1,4,170,1,1,0,1
455,40,1,1,2,1,1,1,1,4,243,1,1,0,1
456,51,5,1,4,2,3,1,1,4,141,2,1,0,1
457,48,10,2,5,1,3,1,1,4,112,1,1,0,1
458,54,9,1,5,1,1,1,1,4,262,2,1,0,1
459,40,2,1,6,1,1,3,1,4,53,1,1,0,1
460,44,1,2,3,2,1,1,1,4,134,1,1,0,1
461,42,3,3,2,1,1,1,1,4,204,4,1,0,1
462,52,8,1,1,1,3,1,1,4,678,1,1,0,1
